EVTYPE_Old,EVTYPE_New
   HIGH SURF ADVISORY,HIGH SURF
 FLASH FLOOD,FLASH FLOOD
 TSTM WIND,THUNDERSTORM WIND
 TSTM WIND (G45),THUNDERSTORM WIND
?,UNDEFINED
AGRICULTURAL FREEZE,FROST/FREEZE
APACHE COUNTY,UNDEFINED
ASTRONOMICAL HIGH TIDE,ASTRONOMICAL LOW TIDE
ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE
AVALANCE,AVALANCHE
AVALANCHE,AVALANCHE
Beach Erosion,COASTAL FLOOD
BLACK ICE,BLIZZARD
BLIZZARD,BLIZZARD
BLIZZARD/WINTER STORM,BLIZZARD
BLOWING DUST,DUST STORM
BLOWING SNOW,HEAVY SNOW
blowing snow,HEAVY SNOW
BREAKUP FLOODING,FLOOD
BRUSH FIRE,WILDFIRE
COASTAL  FLOODING/EROSION,COASTAL FLOOD
COASTAL EROSION,COASTAL FLOOD
COASTAL FLOOD,COASTAL FLOOD
Coastal Flood,COASTAL FLOOD
COASTAL FLOODING,COASTAL FLOOD
Coastal Flooding,COASTAL FLOOD
COASTAL FLOODING/EROSION,COASTAL FLOOD
COASTAL STORM,COASTAL FLOOD
Coastal Storm,COASTAL FLOOD
COASTAL SURGE,COASTAL FLOOD
COASTALSTORM,COASTAL FLOOD
COLD,COLD/WIND CHILL
Cold,COLD/WIND CHILL
COLD AIR TORNADO,COLD/WIND CHILL
COLD AND SNOW,COLD/WIND CHILL
COLD AND WET CONDITIONS,COLD/WIND CHILL
Cold Temperature,COLD/WIND CHILL
COLD WAVE,COLD/WIND CHILL
COLD WEATHER,COLD/WIND CHILL
COLD/WIND CHILL,COLD/WIND CHILL
COLD/WINDS,COLD/WIND CHILL
COOL AND WET,COLD/WIND CHILL
DAM BREAK,FLOOD
DAMAGING FREEZE,FROST/FREEZE
Damaging Freeze,FROST/FREEZE
DENSE FOG,DENSE FOG
DENSE SMOKE,UNDEFINED
DOWNBURST,HEAVY RAIN
DROUGHT,DROUGHT
DROUGHT/EXCESSIVE HEAT,DROUGHT
DROWNING,UNDEFINED
DRY MICROBURST,HIGH WIND
DRY MIRCOBURST WINDS,HIGH WIND
DUST DEVIL,DUST DEVIL
Dust Devil,DUST DEVIL
DUST DEVIL WATERSPOUT,DUST DEVIL
DUST STORM,DUST STORM
DUST STORM/HIGH WINDS,DUST STORM
Early Frost,FROST/FREEZE
Erosion/Cstl Flood,COASTAL FLOOD
EXCESSIVE HEAT,EXCESSIVE HEAT
EXCESSIVE RAINFALL,HEAVY RAIN
EXCESSIVE SNOW,HEAVY SNOW
EXCESSIVE WETNESS,HEAVY RAIN
Extended Cold,EXTREME COLD/WIND CHILL
EXTREME COLD,EXTREME COLD/WIND CHILL
Extreme Cold,EXTREME COLD/WIND CHILL
EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL
EXTREME HEAT,HEAT
EXTREME WIND CHILL,EXTREME COLD/WIND CHILL
EXTREME WINDCHILL,EXTREME COLD/WIND CHILL
FALLING SNOW/ICE,HEAVY SNOW
FLASH FLOOD,FLASH FLOOD
FLASH FLOOD - HEAVY RAIN,FLASH FLOOD
FLASH FLOOD FROM ICE JAMS,FLASH FLOOD
FLASH FLOOD LANDSLIDES,FLASH FLOOD
FLASH FLOOD WINDS,FLASH FLOOD
FLASH FLOOD/,FLASH FLOOD
FLASH FLOOD/ STREET,FLASH FLOOD
FLASH FLOOD/FLOOD,FLASH FLOOD
FLASH FLOOD/LANDSLIDE,FLASH FLOOD
FLASH FLOODING,FLASH FLOOD
FLASH FLOODING/FLOOD,FLASH FLOOD
FLASH FLOODING/THUNDERSTORM WI,FLASH FLOOD
FLASH FLOODS,FLASH FLOOD
FLOOD,FLOOD
FLOOD & HEAVY RAIN,FLOOD
FLOOD FLASH,FLOOD
FLOOD/FLASH,FLOOD
FLOOD/FLASH FLOOD,FLOOD
FLOOD/FLASH/FLOOD,FLOOD
FLOOD/FLASHFLOOD,FLOOD
FLOOD/RAIN/WINDS,FLOOD
FLOOD/RIVER FLOOD,FLOOD
FLOODING,FLOOD
FLOODING/HEAVY RAIN,FLOOD
FLOODS,FLOOD
FOG,FREEZING FOG
FOG AND COLD TEMPERATURES,FREEZING FOG
FOREST FIRES,WILDFIRE
FREEZE,FROST/FREEZE
Freeze,FROST/FREEZE
FREEZING DRIZZLE,FREEZING FOG
Freezing Drizzle,FREEZING FOG
Freezing drizzle,FREEZING FOG
FREEZING FOG,FREEZING FOG
FREEZING RAIN,FREEZING FOG
Freezing Rain,FREEZING FOG
FREEZING RAIN/SLEET,WINTER WEATHER
FREEZING RAIN/SNOW,WINTER WEATHER
Freezing Spray,WINTER WEATHER
FROST,FROST/FREEZE
Frost/Freeze,FROST/FREEZE
FROST/FREEZE,FROST/FREEZE
FROST\FREEZE,FROST/FREEZE
FUNNEL CLOUD,FUNNEL CLOUD
GLAZE,WINTER WEATHER
Glaze,WINTER WEATHER
GLAZE ICE,WINTER WEATHER
GLAZE/ICE STORM,WINTER WEATHER
GRADIENT WIND,HIGH WIND
gradient wind,HIGH WIND
Gradient wind,HIGH WIND
